State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
72,"Bayamón Municipio, Puerto Rico",188614.0,40.4,25528.0,14138.0,63445.0,33.63748184122069,6.039848579638839
72,"Carolina Municipio, Puerto Rico",161684.0,41.1,29082.0,16188.0,46686.0,28.87484228495089,6.310457435491452
72,"Cayey Municipio, Puerto Rico",45431.0,41.0,20442.0,12594.0,19785.0,43.54955867139178,3.843190772820321
01,"Monroe County, Alabama",21745.0,41.7,26036.0,17264.0,7249.0,33.3363991722235,7.776500344906875
01,"Lawrence County, Alabama",33288.0,42.0,43779.0,22419.0,5490.0,16.49242970439798,2.919971160778659
01,"Lee County, Alabama",156597.0,31.0,47564.0,26170.0,33132.0,21.15749343857162,2.791241211517462
01,"Marion County, Alabama",30058.0,44.1,35719.0,21835.0,5175.0,17.21671435225231,2.298888814957748
01,"Pickens County, Alabama",20170.0,42.1,36220.0,20089.0,4340.0,21.51710461080813,4.749628160634606
01,"Sumter County, Alabama",13084.0,35.9,21663.0,14739.0,4398.0,33.61357383063283,5.136044023234485
01,"Jefferson County, Alabama",659460.0,37.6,49321.0,29456.0,113368.0,17.191035089315502,3.797652624874898
01,"Choctaw County, Alabama",13188.0,45.8,32122.0,20994.0,2903.0,22.012435547467394,3.548680618744313
01,"Franklin County, Alabama",31507.0,37.7,39501.0,19314.0,7175.0,22.772717173961343,3.5357222204589456
01,"Marengo County, Alabama",19743.0,42.1,32255.0,22996.0,5000.0,25.325431798612165,4.938459200729373
01,"Russell County, Alabama",58480.0,35.3,38988.0,21279.0,12024.0,20.560875512995896,4.215116279069767
01,"Cherokee County, Alabama",25855.0,46.1,40041.0,23010.0,4104.0,15.873138657899826,2.1543221813962483
01,"Covington County, Alabama",37519.0,43.4,39467.0,22431.0,6491.0,17.300567712359072,4.688291265758682
01,"Crenshaw County, Alabama",13866.0,41.4,38937.0,21580.0,2399.0,17.301312563103995,2.8054233376604643
01,"Dallas County, Alabama",40755.0,39.3,30065.0,18248.0,12795.0,31.39492086860508,5.64838670101828
01,"Lauderdale County, Alabama",92590.0,41.5,44888.0,25803.0,14701.0,15.87752457068798,3.021924613889189
01,"Lowndes County, Alabama",10362.0,40.7,29785.0,18976.0,3095.0,29.868751206330824,4.304188380621501
01,"Macon County, Alabama",19358.0,38.0,32308.0,19564.0,4380.0,22.626304370286185,6.462444467403658
01,"Limestone County, Alabama",91695.0,39.1,52831.0,26685.0,13138.0,14.327935001908502,3.2248214188341784
01,"Shelby County, Alabama",208721.0,38.5,74063.0,35330.0,17127.0,8.205690850465453,2.2278544085166323
01,"St. Clair County, Alabama",86937.0,40.1,53483.0,24686.0,11656.0,13.407409963536814,2.707707880419154
01,"Winston County, Alabama",23968.0,44.6,35362.0,20580.0,4395.0,18.336949265687583,3.859312416555407
01,"Baldwin County, Alabama",203360.0,42.6,52562.0,29364.0,23728.0,11.667977970102282,2.564417781274587
01,"Cullman County, Alabama",81703.0,40.6,40997.0,21857.0,13157.0,16.10344785381198,2.401380610259109
01,"Elmore County, Alabama",80989.0,38.5,54981.0,26251.0,10299.0,12.716541752583684,3.2263640741335244
01,"Houston County, Alabama",104108.0,39.6,42803.0,24781.0,19030.0,18.279094786183578,3.498290237061513
01,"Jackson County, Alabama",52326.0,43.0,39281.0,20946.0,9827.0,18.780338646179718,3.2469518021633603
01,"Talladega County, Alabama",80888.0,40.6,39219.0,21382.0,14946.0,18.477400850558798,4.252793986747107
01,"Tuscaloosa County, Alabama",204424.0,32.3,50513.0,24895.0,33597.0,16.43495871326263,3.2139083473564747
01,"Washington County, Alabama",16746.0,43.5,42185.0,23239.0,3644.0,21.760420398901232,4.227875313507703
01,"Clay County, Alabama",13407.0,43.8,37287.0,21330.0,2493.0,18.594763929290668,2.8268814798239728
01,"Coffee County, Alabama",51073.0,39.3,49821.0,26216.0,8122.0,15.902727468525445,2.7235525620190706
01,"Morgan County, Alabama",119157.0,40.1,47529.0,25013.0,19448.0,16.321323967538625,2.9339442919845244
01,"Pike County, Alabama",33287.0,31.4,35684.0,20808.0,8224.0,24.70634181512302,4.103704148766786
01,"Chilton County, Alabama",43805.0,38.9,43501.0,23368.0,8392.0,19.15763040748773,2.9014952630978197
01,"Colbert County, Alabama",54435.0,42.5,45477.0,23675.0,9056.0,16.636355286121063,3.0366492146596857
01,"Coosa County, Alabama",10955.0,45.9,34792.0,20342.0,1513.0,13.811045184847101,4.545869465997262
01,"Dale County, Alabama",49393.0,37.1,44711.0,23194.0,9441.0,19.114044500232826,4.245540866114632
01,"Hale County, Alabama",14995.0,39.8,34679.0,20269.0,3852.0,25.68856285428476,4.648216072024008
01,"Etowah County, Alabama",103132.0,40.9,42064.0,22278.0,18166.0,17.61431951285731,3.302563704766707
01,"DeKalb County, Alabama",71194.0,39.0,38842.0,20020.0,15115.0,21.23072169003006,2.1476528920976485
01,"Escambia County, Alabama",37621.0,39.6,35026.0,18164.0,8281.0,22.01164243374711,5.1301135004385845
01,"Lamar County, Alabama",14021.0,44.5,36016.0,21152.0,3191.0,22.758719064260752,3.27366093716568
01,"Randolph County, Alabama",22530.0,42.7,39485.0,20983.0,4102.0,18.206835330670216,2.3524189968930314
01,"Butler County, Alabama",20126.0,40.7,36326.0,19004.0,4835.0,24.02365099870814,3.1799662128589885
01,"Mobile County, Alabama",414328.0,37.3,45802.0,24347.0,78256.0,18.88745148771022,3.3734142997818153
01,"Conecuh County, Alabama",12649.0,44.5,30434.0,16337.0,3316.0,26.21551110759744,5.288955648667879
01,"Perry County, Alabama",9680.0,37.6,22973.0,13449.0,3706.0,38.28512396694215,3.4297520661157024
01,"Walker County, Alabama",64927.0,42.3,38872.0,21217.0,13754.0,21.183791026845533,4.160056679039537
01,"Cleburne County, Alabama",14939.0,41.7,37396.0,20873.0,2800.0,18.742887743490193,3.273311466630966
01,"Greene County, Alabama",8533.0,42.0,20954.0,14197.0,3293.0,38.59135122465721,4.9103480604711125
01,"Barbour County, Alabama",26201.0,39.7,33368.0,17561.0,6332.0,24.16701652608679,4.812793404831877
01,"Bibb County, Alabama",22580.0,39.8,43404.0,20911.0,3133.0,13.87511071744907,3.2240921169176264
01,"Bullock County, Alabama",10478.0,40.8,29655.0,20856.0,2852.0,27.218934911242602,5.649933193357511
01,"Calhoun County, Alabama",115527.0,39.1,43686.0,23638.0,20940.0,18.125632968916356,4.595462532568145
01,"Chambers County, Alabama",33895.0,43.0,37342.0,22002.0,6288.0,18.55140876235433,2.932585927127895
01,"Clarke County, Alabama",24625.0,42.2,33827.0,20765.0,6108.0,24.804060913705584,5.782741116751269
01,"Fayette County, Alabama",16657.0,43.6,36541.0,21191.0,2967.0,17.8123311520682,3.4580056432730983
01,"Montgomery County, Alabama",227120.0,35.9,46545.0,26712.0,45863.0,20.19328989080662,3.67338851708348
01,"Marshall County, Alabama",94738.0,38.8,41104.0,22710.0,19654.0,20.74563533112373,2.8330764846207437
01,"Blount County, Alabama",57667.0,40.9,47412.0,22021.0,8919.0,15.466384587372326,1.8918965786324935
01,"Henry County, Alabama",17110.0,43.5,45569.0,23983.0,2310.0,13.500876680303916,2.898889538281707
01,"Madison County, Alabama",353213.0,38.2,61318.0,34232.0,46925.0,13.285184860126892,3.3469889273611106
01,"Autauga County, Alabama",55036.0,37.8,55317.0,27824.0,7483.0,13.596554982193473,2.4056980885238755
01,"Tallapoosa County, Alabama",40756.0,43.3,42181.0,22430.0,8532.0,20.934340955932868,3.7957601334772795
01,"Geneva County, Alabama",26572.0,42.7,39293.0,21084.0,5903.0,22.215113653469817,3.8047568869486676
01,"Wilcox County, Alabama",10919.0,40.5,27012.0,15774.0,3371.0,30.872790548585034,5.513325396098544
02,"Kodiak Island Borough, Alaska",13773.0,33.1,74167.0,32625.0,1262.0,9.162854860959849,2.875190590285341
02,"Denali Borough, Alaska",2303.0,38.4,83295.0,33084.0,351.0,15.240990013026487,1.2592270950933564
02,"Valdez-Cordova Census Area, Alaska",9439.0,40.0,86019.0,37935.0,694.0,7.352473779002013,4.0682275664795
02,"Kenai Peninsula Borough, Alaska",57961.0,40.6,65279.0,33336.0,6229.0,10.746881523783234,4.135539414433843
02,"Aleutians West Census Area, Alaska",5784.0,37.7,85192.0,35998.0,419.0,7.244121715076072,1.3312586445366528
02,"Bristol Bay Borough, Alaska",917.0,41.8,79500.0,42002.0,63.0,6.870229007633588,4.0348964013086155
02,"Northwest Arctic Borough, Alaska",7715.0,26.6,61533.0,21879.0,1934.0,25.06804925469864,8.671419313026572
02,"Bethel Census Area, Alaska",17957.0,26.9,53853.0,18654.0,4705.0,26.201481316478255,8.108258617809211
02,"North Slope Borough, Alaska",9757.0,34.6,77266.0,48777.0,976.0,10.003074715588808,5.790714358921799
02,"Sitka City and Borough, Alaska",8810.0,38.9,70765.0,36617.0,800.0,9.080590238365494,2.8036322360953463
02,"Fairbanks North Star Borough, Alaska",100031.0,31.0,76250.0,35328.0,7340.0,7.337725305155402,4.045745818796173
02,"Ketchikan Gateway Borough, Alaska",13745.0,39.5,67321.0,33771.0,1437.0,10.454710803928702,3.7904692615496542
02,"Matanuska-Susitna Borough, Alaska",101135.0,34.9,74887.0,30409.0,9759.0,9.649478419933752,4.593859692490236
02,"Yakutat City and Borough, Alaska",682.0,39.4,64583.0,32393.0,42.0,6.158357771260997,3.812316715542522
02,"Nome Census Area, Alaska",9869.0,27.9,53821.0,20952.0,2381.0,24.126051271658728,7.336102948627014
02,"Dillingham Census Area, Alaska",4974.0,30.1,58708.0,24647.0,817.0,16.42541214314435,5.146763168476076
02,"Haines Borough, Alaska",2537.0,45.0,70640.0,35907.0,210.0,8.277493102089082,1.5766653527788728
02,"Juneau City and Borough, Alaska",32434.0,38.0,90749.0,41904.0,2339.0,7.211568107541469,2.7933649873589443
02,"Lake and Peninsula Borough, Alaska",1301.0,32.3,45208.0,23434.0,213.0,16.372021521906227,6.764027671022291
02,"Southeast Fairbanks Census Area, Alaska",6889.0,36.6,63866.0,31051.0,942.0,13.673973000435478,6.096675860066773
02,"Yukon-Koyukuk Census Area, Alaska",5453.0,34.7,37819.0,21057.0,1373.0,25.178800660187054,9.352649917476619
02,"Anchorage Municipality, Alaska",298225.0,33.1,82271.0,38977.0,23510.0,7.883309581691676,3.149970659736776
02,"Aleutians East Borough, Alaska",3338.0,42.7,66607.0,31254.0,555.0,16.626722588376275,1.76752546434991
02,"Prince of Wales-Hyder Census Area, Alaska",6473.0,41.0,52114.0,26695.0,1027.0,15.86590452649467,6.6893248879962925
02,"Wrangell City and Borough, Alaska",2475.0,49.1,56094.0,29943.0,287.0,11.595959595959595,3.3535353535353534
02,"Hoonah-Angoon Census Area, Alaska",2146.0,48.9,57900.0,33704.0,238.0,11.09040074557316,6.430568499534017
02,"Skagway Municipality, Alaska",1038.0,42.9,70673.0,39376.0,58.0,5.5876685934489405,5.780346820809249
02,"Petersburg Borough, Alaska",3275.0,41.7,63490.0,35044.0,256.0,7.816793893129771,2.50381679389313
